iter	Passed	Remaining
768	1397	419
769	1398	417
770	1399	415
771	1401	413
772	1402	411
773	1403	409
774	1406	408
775	1407	406
776	1409	404
777	1410	402
778	1411	400
779	1413	398
780	1414	396
781	1415	394
782	1417	392
783	1418	390
784	1420	388
785	1421	387
786	1422	385
787	1424	383
788	1425	381
789	1426	379
790	1428	377
791	1429	375
792	1431	373
793	1432	371
794	1433	369
795	1435	367
796	1436	365
797	1437	363
798	1439	362
799	1441	360
800	1443	358
801	1444	356
802	1445	354
803	1447	352
804	1448	350
805	1449	348
806	1450	346
807	1452	345
808	1454	343
809	1456	341
810	1457	339
811	1459	337
812	1461	336
813	1463	334
814	1465	332
815	1467	330
816	1469	329
817	1470	327
818	1472	325
819	1474	323
820	1476	321
821	1479	320
822	1481	318
823	1482	316
824	1484	314
825	1485	313
826	1487	311
827	1488	309
828	1489	307
829	1491	305
830	1493	303
831	1494	301
832	1495	299
833	1497	298
834	1498	296
835	1500	294
836	1501	292
837	1502	290
838	1504	288
839	1506	286
840	1508	285
841	1509	283
842	1510	281
843	1512	279
844	1513	277
845	1514	275
846	1517	274
847	1519	272
848	1520	270
849	1521	268
850	1522	266
851	1524	264
852	1526	263
853	1531	261
854	1532	259
855	1534	258
856	1535	256
857	1536	254
858	1537	252
859	1539	250
860	1540	248
861	1542	246
862	1544	245
863	1545	243
864	1546	241
865	1548	239
866	1549	237
867	1550	235
868	1552	233
869	1553	232
870	1555	230
871	1556	228
872	1557	226
873	1558	224
874	1559	222
875	1560	220
876	1561	218
877	1562	217
878	1564	215
879	1565	213
880	1566	211
881	1568	209
882	1569	207
883	1570	206
884	1571	204
885	1573	202
886	1574	200
887	1576	198
888	1577	196
889	1578	195
890	1580	193
891	1581	191
892	1582	189
893	1583	187
894	1584	185
895	1585	184
896	1586	182
897	1588	180
898	1589	178
899	1590	176
900	1591	174
901	1592	173
902	1594	171
903	1596	169
904	1597	167
905	1598	165
906	1600	164
907	1601	162
908	1602	160
909	1604	158
910	1605	156
911	1606	155
912	1608	153
913	1609	151
914	1611	149
915	1612	147
916	1614	146
917	1615	144
918	1617	142
919	1618	140
920	1619	138
921	1621	137
922	1622	135
923	1624	133
924	1625	131
925	1626	130
926	1628	128
927	1629	126
928	1630	124
929	1631	122
930	1632	121
931	1633	119
932	1634	117
933	1636	115
934	1637	113
935	1638	112
936	1639	110
937	1640	108
938	1641	106
939	1642	104
940	1643	103
941	1644	101
942	1645	99
943	1646	97
